Number,Size,Type,Time(days),Deep(cm),Length(cm),HRT(hours),COD(mg/L),TN(mg/L),NH3-N(mg/L),C/N,c(A)(¦Ìg/L),CSC,XLogP3,WI,RA(P),RA(F),RA(B),RA(A),RE(TN),RE(A)
25,laboratory-scale systems,VFCW,5 ,5.0 ,50.0 ,139.2 ,486.17 ,156.76 ,135.50 ,3.10 ,530.58 ,110 ,-0.1 ,2309 ,17.0700 ,0.0000 ,5.5700 ,0.0000 ,0.5210 ,0.9724 
26,laboratory-scale systems,VFCW,30 ,5.0 ,50.0 ,139.2 ,486.17 ,156.76 ,135.50 ,3.10 ,530.58 ,110 ,-0.1 ,2309 ,20.1200 ,0.0000 ,8.1000 ,0.0000 ,0.5210 ,0.9724 
27,laboratory-scale systems,VFCW,60 ,5.0 ,50.0 ,139.2 ,486.17 ,156.76 ,135.50 ,3.10 ,530.58 ,110 ,-0.1 ,2309 ,30.4000 ,0.0000 ,12.3800 ,0.0000 ,0.5210 ,0.9724 
28,laboratory-scale systems,VFCW,90 ,5.0 ,50.0 ,139.2 ,486.17 ,156.76 ,135.50 ,3.10 ,530.58 ,110 ,-0.1 ,2309 ,27.5200 ,0.0000 ,17.7200 ,0.0000 ,0.5210 ,0.9724 
29,laboratory-scale systems,VFCW,5 ,5.0 ,50.0 ,38.4 ,486.17 ,156.76 ,135.50 ,3.10 ,530.58 ,110 ,-0.1 ,2309 ,19.9500 ,0.0000 ,13.1600 ,0.0000 ,0.3660 ,0.9729 
30,laboratory-scale systems,VFCW,30 ,5.0 ,50.0 ,38.4 ,486.17 ,156.76 ,135.50 ,3.10 ,530.58 ,110 ,-0.1 ,2309 ,31.5400 ,0.0000 ,11.3500 ,0.0000 ,0.3660 ,0.9729 
31,laboratory-scale systems,VFCW,60 ,5.0 ,50.0 ,38.4 ,486.17 ,156.76 ,135.50 ,3.10 ,530.58 ,110 ,-0.1 ,2309 ,36.0100 ,0.0000 ,13.2300 ,0.0000 ,0.3660 ,0.9729 
32,laboratory-scale systems,VFCW,90 ,5.0 ,50.0 ,38.4 ,486.17 ,156.76 ,135.50 ,3.10 ,530.58 ,110 ,-0.1 ,2309 ,38.1800 ,0.0000 ,16.7400 ,0.0000 ,0.3660 ,0.9729 
33,laboratory-scale systems,VFCW,5 ,5.0 ,50.0 ,117.6 ,486.17 ,156.76 ,135.50 ,3.10 ,530.58 ,110 ,-0.1 ,2309 ,23.0300 ,0.0000 ,6.2900 ,0.0000 ,0.5210 ,0.9472 
34,laboratory-scale systems,VFCW,30 ,5.0 ,50.0 ,117.6 ,486.17 ,156.76 ,135.50 ,3.10 ,530.58 ,110 ,-0.1 ,2309 ,22.5000 ,0.0000 ,12.0100 ,0.0000 ,0.5210 ,0.9472 
