Number,Size,Type,Time(days),Deep(cm),Length(cm),HRT(hours),COD(mg/L),TN(mg/L),NH3-N(mg/L),C/N,c(A)(¦Ìg/L),CSC,XLogP3,WI,RA(P),RA(F),RA(B),RA(A),RE(TN),RE(A)
99,laboratory-scale systems,VFCW,100 ,23.0 ,23.0 ,72.0 ,180.00 ,30.00 ,30.00 ,6.00 ,0.00 ,0 ,0.0 ,0 ,24.7098 ,0.0000 ,2.7090 ,47.0846 ,0.9996 ,0.0000 
100,laboratory-scale systems,VFCW,190 ,23.0 ,23.0 ,72.0 ,180.00 ,30.00 ,30.00 ,6.00 ,0.00 ,0 ,0.0 ,0 ,39.6217 ,0.0000 ,2.0170 ,24.6028 ,0.9729 ,0.0000 
101,laboratory-scale systems,VFCW,0 ,23.0 ,23.0 ,72.0 ,180.00 ,30.00 ,30.00 ,6.00 ,100.00 ,1 ,0.9 ,535 ,34.3640 ,0.0000 ,5.2323 ,32.4851 ,0.9687 ,0.0000 
102,laboratory-scale systems,VFCW,34 ,23.0 ,23.0 ,72.0 ,180.00 ,30.00 ,30.00 ,6.00 ,100.00 ,1 ,0.9 ,535 ,43.7569 ,0.0000 ,6.0762 ,26.0037 ,0.8784 ,0.5941 
103,laboratory-scale systems,VFCW,65 ,23.0 ,23.0 ,72.0 ,180.00 ,30.00 ,30.00 ,6.00 ,100.00 ,1 ,0.9 ,535 ,30.0180 ,0.0000 ,4.3799 ,35.0589 ,0.6805 ,0.3279 
104,laboratory-scale systems,VFCW,100 ,23.0 ,23.0 ,72.0 ,180.00 ,30.00 ,30.00 ,6.00 ,100.00 ,1 ,0.9 ,535 ,20.2032 ,0.0000 ,3.3166 ,50.5194 ,0.9531 ,0.8134 
105,laboratory-scale systems,VFCW,190 ,23.0 ,23.0 ,72.0 ,180.00 ,30.00 ,30.00 ,6.00 ,100.00 ,1 ,0.9 ,535 ,22.1781 ,0.0000 ,2.3376 ,37.9028 ,0.9742 ,0.9550 
106,laboratory-scale systems,VFCW,0 ,23.0 ,23.0 ,72.0 ,180.00 ,30.00 ,30.00 ,6.00 ,0.00 ,1 ,0.0 ,0 ,32.3472 ,0.0000 ,4.3461 ,38.4261 ,0.8687 ,0.0000 
107,laboratory-scale systems,VFCW,34 ,23.0 ,23.0 ,72.0 ,180.00 ,30.00 ,30.00 ,6.00 ,0.00 ,1 ,0.0 ,0 ,43.6557 ,0.0000 ,6.4137 ,23.7167 ,0.9207 ,0.0000 
108,laboratory-scale systems,VFCW,65 ,23.0 ,23.0 ,72.0 ,180.00 ,30.00 ,30.00 ,6.00 ,0.00 ,1 ,0.0 ,0 ,35.9929 ,0.0000 ,4.1942 ,33.3288 ,0.6652 ,0.0000 
109,laboratory-scale systems,VFCW,100 ,23.0 ,23.0 ,72.0 ,180.00 ,30.00 ,30.00 ,6.00 ,0.00 ,1 ,0.0 ,0 ,28.3471 ,0.0000 ,3.6373 ,43.9875 ,0.9590 ,0.0000 
110,laboratory-scale systems,VFCW,190 ,23.0 ,23.0 ,72.0 ,180.00 ,30.00 ,30.00 ,6.00 ,0.00 ,1 ,0.0 ,0 ,20.5915 ,0.0000 ,1.8819 ,43.0929 ,0.9430 ,0.0000 
111,laboratory-scale systems,VFCW,0 ,23.0 ,23.0 ,72.0 ,180.00 ,30.00 ,30.00 ,6.00 ,100.00 ,2 ,0.9 ,535 ,39.3631 ,0.0000 ,4.7006 ,32.9492 ,0.8727 ,0.0000 
112,laboratory-scale systems,VFCW,34 ,23.0 ,23.0 ,72.0 ,180.00 ,30.00 ,30.00 ,6.00 ,100.00 ,2 ,0.9 ,535 ,39.1492 ,0.0000 ,8.0678 ,29.2696 ,0.8624 ,0.2891 
113,laboratory-scale systems,VFCW,65 ,23.0 ,23.0 ,72.0 ,180.00 ,30.00 ,30.00 ,6.00 ,100.00 ,2 ,0.9 ,535 ,38.3644 ,0.0000 ,5.2660 ,34.1220 ,0.6079 ,0.2431 
114,laboratory-scale systems,VFCW,100 ,23.0 ,23.0 ,72.0 ,180.00 ,30.00 ,30.00 ,6.00 ,100.00 ,2 ,0.9 ,535 ,27.4863 ,0.0000 ,3.6457 ,44.2660 ,0.7988 ,0.1957 
115,laboratory-scale systems,VFCW,190 ,23.0 ,23.0 ,72.0 ,180.00 ,30.00 ,30.00 ,6.00 ,100.00 ,2 ,0.9 ,535 ,21.7223 ,0.0000 ,1.0718 ,43.2111 ,0.9768 ,0.8653 
116,laboratory-scale systems,VFCW,30 ,30.0 ,30.0 ,24.0 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0 ,0.0 ,0 ,63.9504 ,10.4447 ,11.2673 ,4.5629 ,0.0000 ,0.0000 
117,laboratory-scale systems,VFCW,30 ,30.0 ,30.0 ,24.0 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0 ,0.0 ,0 ,70.8330 ,7.0582 ,5.1332 ,1.0694 ,0.0000 ,0.0000 
118,laboratory-scale systems,VFCW,30 ,30.0 ,30.0 ,24.0 ,0.00 ,0.00 ,0.00 ,0.00 ,10000.00 ,100 ,-2.0 ,2350 ,58.1782 ,13.9025 ,16.7543 ,1.6398 ,0.0000 ,0.6188 
119,laboratory-scale systems,VFCW,30 ,30.0 ,30.0 ,24.0 ,0.00 ,0.00 ,0.00 ,0.00 ,10000.00 ,100 ,-2.0 ,2350 ,48.0900 ,14.5089 ,21.1389 ,1.1051 ,0.0000 ,0.6188 
120,laboratory-scale systems,VFCW,70 ,16.7 ,33.3 ,72.0 ,187.44 ,7.96 ,7.96 ,23.55 ,2000.00 ,10 ,-1.1 ,1234 ,75.2390 ,10.5672 ,4.0643 ,3.5598 ,0.5336 ,0.7506 
121,laboratory-scale systems,VFCW,70 ,33.3 ,16.7 ,72.0 ,187.44 ,7.96 ,7.96 ,23.55 ,2000.00 ,10 ,-1.1 ,1234 ,46.4244 ,22.4518 ,12.6414 ,4.6810 ,0.5336 ,0.7506 
122,laboratory-scale systems,VFCW,60 ,13.5 ,24.5 ,72.0 ,374.88 ,42.98 ,42.98 ,8.72 ,4000.00 ,1 ,-0.1 ,536 ,27.8386 ,11.6040 ,9.0435 ,0.0000 ,0.5932 ,0.9980 
123,laboratory-scale systems,VFCW,60 ,13.5 ,24.5 ,36.0 ,374.88 ,42.98 ,42.98 ,8.72 ,4000.00 ,1 ,-0.1 ,536 ,25.3326 ,13.7286 ,3.9770 ,0.0000 ,0.5932 ,0.9971 
124,laboratory-scale systems,VFCW,30 ,26.5 ,26.5 ,36.0 ,120.00 ,25.00 ,20.00 ,4.80 ,0.00 ,0 ,0.0 ,0 ,63.6360 ,11.8378 ,10.8065 ,1.2107 ,0.5932 ,0.0000 
125,laboratory-scale systems,VFCW,90 ,26.5 ,26.5 ,36.0 ,120.00 ,25.00 ,20.00 ,4.80 ,0.00 ,0 ,0.0 ,0 ,68.0752 ,10.2684 ,6.6364 ,1.8384 ,0.5932 ,0.0000 
126,laboratory-scale systems,VFCW,160 ,26.5 ,26.5 ,36.0 ,120.00 ,25.00 ,20.00 ,4.80 ,0.00 ,0 ,0.0 ,0 ,49.1078 ,3.5872 ,5.9189 ,6.7260 ,0.5932 ,0.0000 
127,laboratory-scale systems,VFCW,230 ,26.5 ,26.5 ,36.0 ,120.00 ,25.00 ,20.00 ,4.80 ,0.00 ,0 ,0.0 ,0 ,45.8345 ,5.4257 ,9.7303 ,5.7395 ,0.5932 ,0.0000 
128,laboratory-scale systems,VFCW,30 ,26.5 ,26.5 ,36.0 ,120.00 ,25.00 ,20.00 ,4.80 ,1001.00 ,1 ,0.9 ,534 ,61.8490 ,8.6426 ,8.0418 ,1.8487 ,0.5932 ,0.8820 
129,laboratory-scale systems,VFCW,90 ,26.5 ,26.5 ,36.0 ,120.00 ,25.00 ,20.00 ,4.80 ,1001.00 ,1 ,0.9 ,534 ,65.5002 ,3.6974 ,12.3399 ,0.5546 ,0.5932 ,0.8820 
130,laboratory-scale systems,VFCW,160 ,26.5 ,26.5 ,36.0 ,120.00 ,25.00 ,20.00 ,4.80 ,1001.00 ,1 ,0.9 ,534 ,64.9918 ,4.2058 ,3.6049 ,4.6679 ,0.5932 ,0.8820 
131,laboratory-scale systems,VFCW,230 ,26.5 ,26.5 ,36.0 ,120.00 ,25.00 ,20.00 ,4.80 ,1001.00 ,1 ,0.9 ,534 ,47.5218 ,7.2099 ,5.8233 ,5.2687 ,0.5932 ,0.8820 
132,laboratory-scale systems,VFCW,30 ,5.0 ,5.0 ,24.0 ,607.00 ,31.18 ,20.34 ,19.47 ,100.00 ,1 ,0.9 ,535 ,42.6334 ,19.7879 ,4.6192 ,0.0000 ,0.6196 ,0.9909 
133,laboratory-scale systems,VFCW,30 ,40.0 ,40.0 ,24.0 ,607.00 ,31.18 ,20.34 ,19.47 ,100.00 ,1 ,0.9 ,535 ,73.6380 ,0.0000 ,0.0000 ,0.0000 ,0.6196 ,0.9909 
134,laboratory-scale systems,VFCW,30 ,5.0 ,120.0 ,24.0 ,607.00 ,31.18 ,20.34 ,19.47 ,100.00 ,1 ,0.9 ,535 ,51.4668 ,9.8093 ,5.6413 ,0.0000 ,0.6196 ,0.9909 
135,laboratory-scale systems,VFCW,30 ,40.0 ,175.0 ,24.0 ,607.00 ,31.18 ,20.34 ,19.47 ,100.00 ,1 ,0.9 ,535 ,44.6363 ,0.0000 ,8.3280 ,0.0000 ,0.6196 ,0.9909 
136,laboratory-scale systems,VFCW,56 ,5.0 ,20.0 ,168.0 ,3420.00 ,57.00 ,57.00 ,60.00 ,0.00 ,0 ,0.0 ,0 ,37.5882 ,26.6786 ,14.8642 ,3.9381 ,0.9123 ,0.0000 
137,laboratory-scale systems,VFCW,56 ,5.0 ,20.0 ,168.0 ,3420.00 ,57.00 ,57.00 ,60.00 ,100.00 ,10 ,-0.2 ,1601 ,48.2182 ,19.7795 ,12.0809 ,9.2679 ,0.8947 ,0.8215 
138,laboratory-scale systems,VFCW,51 ,5.0 ,5.0 ,39.0 ,400.00 ,20.00 ,20.00 ,20.00 ,0.00 ,0 ,0.0 ,0 ,48.2449 ,2.6435 ,5.5640 ,19.8882 ,0.9950 ,0.0000 
139,laboratory-scale systems,VFCW,52 ,5.0 ,5.0 ,39.0 ,400.00 ,20.00 ,20.00 ,20.00 ,0.00 ,0 ,0.0 ,0 ,47.3398 ,2.1582 ,4.8889 ,24.9241 ,0.9950 ,0.0000 
140,laboratory-scale systems,VFCW,53 ,5.0 ,5.0 ,39.0 ,400.00 ,20.00 ,20.00 ,20.00 ,0.00 ,0 ,0.0 ,0 ,39.6149 ,2.9775 ,3.9838 ,26.9711 ,0.9950 ,0.0000 
141,laboratory-scale systems,VFCW,54 ,5.0 ,5.0 ,39.0 ,400.00 ,20.00 ,20.00 ,20.00 ,0.00 ,0 ,0.0 ,0 ,47.9974 ,2.1273 ,4.0457 ,22.1625 ,0.9950 ,0.0000 
142,laboratory-scale systems,VFCW,55 ,5.0 ,5.0 ,39.0 ,400.00 ,20.00 ,20.00 ,20.00 ,0.00 ,0 ,0.0 ,0 ,45.1043 ,7.7124 ,4.7651 ,21.0176 ,0.9950 ,0.0000 
143,laboratory-scale systems,VFCW,56 ,5.0 ,5.0 ,39.0 ,400.00 ,20.00 ,20.00 ,20.00 ,0.00 ,0 ,0.0 ,0 ,55.9186 ,2.6378 ,3.5506 ,21.8995 ,0.9950 ,0.0000 
144,laboratory-scale systems,VFCW,57 ,5.0 ,5.0 ,39.0 ,400.00 ,20.00 ,20.00 ,20.00 ,0.00 ,0 ,0.0 ,0 ,45.3673 ,6.1256 ,3.8069 ,22.6344 ,0.9950 ,0.0000 
145,laboratory-scale systems,VFCW,58 ,5.0 ,5.0 ,39.0 ,400.00 ,20.00 ,20.00 ,20.00 ,0.00 ,0 ,0.0 ,0 ,33.4003 ,5.2834 ,3.4114 ,25.5352 ,0.9950 ,0.0000 
146,laboratory-scale systems,VFCW,59 ,5.0 ,5.0 ,39.0 ,400.00 ,20.00 ,20.00 ,20.00 ,0.00 ,0 ,0.0 ,0 ,39.6971 ,3.0710 ,2.8698 ,27.0127 ,0.9950 ,0.0000 
147,laboratory-scale systems,VFCW,60 ,5.0 ,5.0 ,39.0 ,400.00 ,20.00 ,20.00 ,20.00 ,0.00 ,0 ,0.0 ,0 ,41.9636 ,6.5134 ,4.0535 ,23.7638 ,0.9950 ,0.0000 
148,laboratory-scale systems,VFCW,111 ,5.0 ,5.0 ,39.0 ,400.00 ,20.00 ,20.00 ,20.00 ,200.00 ,30 ,-0.7 ,1330 ,39.6739 ,20.1744 ,6.2890 ,16.2293 ,0.9950 ,1.0000 
149,laboratory-scale systems,VFCW,112 ,5.0 ,5.0 ,39.0 ,400.00 ,20.00 ,20.00 ,20.00 ,200.00 ,30 ,-0.7 ,1330 ,36.1466 ,8.3080 ,5.7892 ,26.0533 ,0.9950 ,1.0000 
150,laboratory-scale systems,VFCW,113 ,5.0 ,5.0 ,39.0 ,400.00 ,20.00 ,20.00 ,20.00 ,200.00 ,30 ,-0.7 ,1330 ,37.7864 ,11.3249 ,5.3221 ,17.1189 ,0.9950 ,1.0000 
151,laboratory-scale systems,VFCW,114 ,5.0 ,5.0 ,39.0 ,400.00 ,20.00 ,20.00 ,20.00 ,200.00 ,30 ,-0.7 ,1330 ,29.0993 ,11.5957 ,4.7806 ,22.2863 ,0.9950 ,1.0000 
152,laboratory-scale systems,VFCW,115 ,5.0 ,5.0 ,39.0 ,400.00 ,20.00 ,20.00 ,20.00 ,200.00 ,30 ,-0.7 ,1330 ,36.1774 ,6.2974 ,4.4086 ,23.2455 ,0.9950 ,1.0000 
153,laboratory-scale systems,VFCW,116 ,5.0 ,5.0 ,39.0 ,400.00 ,20.00 ,20.00 ,20.00 ,200.00 ,30 ,-0.7 ,1330 ,41.4608 ,10.4508 ,3.7672 ,19.2384 ,0.9950 ,1.0000 
154,laboratory-scale systems,VFCW,117 ,5.0 ,5.0 ,39.0 ,400.00 ,20.00 ,20.00 ,20.00 ,200.00 ,30 ,-0.7 ,1330 ,39.6816 ,8.7335 ,5.2679 ,22.7736 ,0.9950 ,1.0000 
155,laboratory-scale systems,VFCW,118 ,5.0 ,5.0 ,39.0 ,400.00 ,20.00 ,20.00 ,20.00 ,200.00 ,30 ,-0.7 ,1330 ,26.5930 ,13.5682 ,5.0359 ,20.7623 ,0.9950 ,1.0000 
156,laboratory-scale systems,VFCW,119 ,5.0 ,5.0 ,39.0 ,400.00 ,20.00 ,20.00 ,20.00 ,200.00 ,30 ,-0.7 ,1330 ,39.5424 ,5.8172 ,5.7940 ,18.1166 ,0.9950 ,1.0000 
157,laboratory-scale systems,VFCW,120 ,5.0 ,5.0 ,39.0 ,400.00 ,20.00 ,20.00 ,20.00 ,200.00 ,30 ,-0.7 ,1330 ,34.4137 ,8.8186 ,4.7961 ,19.9733 ,0.9950 ,1.0000 
158,laboratory-scale systems,VFCW,28 ,5.0 ,5.0 ,39.0 ,400.00 ,20.00 ,20.00 ,20.00 ,0.00 ,0 ,0.0 ,0 ,47.3354 ,2.2761 ,5.0135 ,24.7906 ,0.9961 ,0.0000 
159,laboratory-scale systems,VFCW,29 ,5.0 ,5.0 ,39.0 ,400.00 ,20.00 ,20.00 ,20.00 ,0.00 ,0 ,0.0 ,0 ,39.5230 ,3.3218 ,4.0293 ,26.9744 ,0.9961 ,0.0000 
160,laboratory-scale systems,VFCW,30 ,5.0 ,5.0 ,39.0 ,400.00 ,20.00 ,20.00 ,20.00 ,0.00 ,0 ,0.0 ,0 ,47.9198 ,2.1838 ,4.0908 ,22.0532 ,0.9961 ,0.0000 
161,laboratory-scale systems,VFCW,58 ,5.0 ,5.0 ,39.0 ,400.00 ,20.00 ,20.00 ,20.00 ,200.00 ,30 ,-0.7 ,1330 ,36.0166 ,8.6429 ,5.6594 ,25.8979 ,0.9933 ,1.0000 
162,laboratory-scale systems,VFCW,59 ,5.0 ,5.0 ,39.0 ,400.00 ,20.00 ,20.00 ,20.00 ,200.00 ,30 ,-0.7 ,1330 ,37.5545 ,11.6571 ,5.1673 ,17.3165 ,0.9933 ,1.0000 
163,laboratory-scale systems,VFCW,60 ,5.0 ,5.0 ,39.0 ,400.00 ,20.00 ,20.00 ,20.00 ,200.00 ,30 ,-0.7 ,1330 ,29.0654 ,11.7186 ,4.8597 ,21.9609 ,0.9933 ,1.0000 
164,laboratory-scale systems,HFCW,30 ,24.3 ,42.1 ,86.7 ,167.70 ,429.27 ,109.60 ,0.39 ,4.62 ,111 ,-1.1 ,1903 ,20.5501 ,8.2173 ,30.1597 ,0.0000 ,0.5932 ,0.5201 
165,laboratory-scale systems,HFCW,30 ,24.3 ,42.1 ,86.7 ,167.70 ,429.27 ,109.60 ,0.39 ,4.62 ,111 ,-1.1 ,1903 ,23.3483 ,5.7743 ,26.2954 ,0.0000 ,0.5932 ,0.5201 
166,pilot-scale setups,HFCW,360 ,40.0 ,50.0 ,360.0 ,1070.00 ,715.00 ,715.00 ,1.50 ,60.00 ,110 ,-1.4 ,1864 ,47.7120 ,27.1060 ,10.0210 ,1.9880 ,0.5932 ,0.8315 
167,pilot-scale setups,HFCW,360 ,40.0 ,350.0 ,360.0 ,1070.00 ,715.00 ,715.00 ,1.50 ,60.00 ,110 ,-1.4 ,1864 ,40.8620 ,21.7330 ,19.0200 ,2.4180 ,0.5932 ,0.8315 
168,pilot-scale setups,HFCW,360 ,20.0 ,150.0 ,384.0 ,1070.00 ,715.00 ,715.00 ,1.50 ,60.00 ,110 ,-1.4 ,1864 ,49.0820 ,6.6090 ,8.7040 ,3.6260 ,0.5932 ,0.9417 
169,pilot-scale setups,HFCW,360 ,20.0 ,300.0 ,384.0 ,1070.00 ,715.00 ,715.00 ,1.50 ,60.00 ,110 ,-1.4 ,1864 ,48.7870 ,5.4800 ,7.5220 ,3.7070 ,0.5932 ,0.9417 
170,pilot-scale setups,HFCW,360 ,20.0 ,450.0 ,384.0 ,1070.00 ,715.00 ,715.00 ,1.50 ,60.00 ,110 ,-1.4 ,1864 ,46.1540 ,4.2710 ,7.5760 ,3.5190 ,0.5932 ,0.9417 
171,pilot-scale setups,HFCW,360 ,20.0 ,200.0 ,336.0 ,1070.00 ,715.00 ,715.00 ,1.50 ,60.00 ,110 ,-1.4 ,1864 ,53.5150 ,5.1850 ,11.6590 ,4.5670 ,0.5932 ,0.9717 
172,pilot-scale setups,HFCW,360 ,40.0 ,200.0 ,336.0 ,1070.00 ,715.00 ,715.00 ,1.50 ,60.00 ,110 ,-1.4 ,1864 ,56.3630 ,5.1840 ,9.2950 ,4.0840 ,0.5932 ,0.9717 
173,pilot-scale setups,HFCW,360 ,60.0 ,200.0 ,336.0 ,1070.00 ,715.00 ,715.00 ,1.50 ,60.00 ,110 ,-1.4 ,1864 ,56.0670 ,6.0990 ,7.6560 ,2.0420 ,0.5932 ,0.9717 
174,laboratory-scale systems,VFCW,150 ,15.0 ,15.0 ,86.7 ,100.00 ,73.62 ,55.97 ,1.36 ,199.60 ,1 ,0.9 ,535 ,32.0850 ,2.0470 ,7.1910 ,2.1320 ,0.5932 ,0.8950 
175,laboratory-scale systems,VFCW,150 ,35.0 ,35.0 ,86.7 ,100.00 ,73.62 ,55.97 ,1.36 ,199.60 ,1 ,0.9 ,535 ,28.6170 ,1.3360 ,6.7090 ,2.1320 ,0.5932 ,0.8950 
176,laboratory-scale systems,VFCW,150 ,55.0 ,55.0 ,86.7 ,100.00 ,73.62 ,55.97 ,1.36 ,199.60 ,1 ,0.9 ,535 ,36.3200 ,1.5350 ,6.1960 ,2.2170 ,0.5932 ,0.8950 
177,laboratory-scale systems,VFCW,150 ,15.0 ,15.0 ,86.7 ,100.00 ,73.62 ,55.97 ,1.36 ,199.60 ,1 ,0.9 ,535 ,36.4060 ,2.9560 ,7.8730 ,1.9050 ,0.5932 ,0.9935 
178,laboratory-scale systems,VFCW,150 ,35.0 ,35.0 ,86.7 ,100.00 ,73.62 ,55.97 ,1.36 ,199.60 ,1 ,0.9 ,535 ,32.3130 ,2.2450 ,6.0830 ,3.6390 ,0.5932 ,0.9935 
179,laboratory-scale systems,VFCW,150 ,55.0 ,55.0 ,86.7 ,100.00 ,73.62 ,55.97 ,1.36 ,199.60 ,1 ,0.9 ,535 ,30.6070 ,1.7910 ,6.1690 ,3.0980 ,0.5932 ,0.9935 
180,laboratory-scale systems,VFCW,150 ,15.0 ,15.0 ,86.7 ,100.00 ,73.62 ,55.97 ,1.36 ,199.60 ,1 ,0.9 ,535 ,30.8630 ,6.0260 ,6.8220 ,2.8700 ,0.5932 ,0.9787 
181,laboratory-scale systems,VFCW,150 ,35.0 ,35.0 ,86.7 ,100.00 ,73.62 ,55.97 ,1.36 ,199.60 ,1 ,0.9 ,535 ,37.3150 ,2.1040 ,5.9970 ,2.6150 ,0.5932 ,0.9787 
182,laboratory-scale systems,VFCW,150 ,55.0 ,55.0 ,86.7 ,100.00 ,73.62 ,55.97 ,1.36 ,199.60 ,1 ,0.9 ,535 ,32.6820 ,1.4780 ,6.3670 ,2.6720 ,0.5932 ,0.9787 
183,laboratory-scale systems,VFCW,150 ,15.0 ,15.0 ,86.7 ,100.00 ,73.62 ,55.97 ,1.36 ,199.60 ,1 ,0.9 ,535 ,36.7180 ,1.1650 ,6.5090 ,1.9620 ,0.5932 ,0.9489 
184,laboratory-scale systems,VFCW,150 ,35.0 ,35.0 ,86.7 ,100.00 ,73.62 ,55.97 ,1.36 ,199.60 ,1 ,0.9 ,535 ,35.4110 ,2.8710 ,6.9070 ,2.1320 ,0.5932 ,0.9489 
185,laboratory-scale systems,VFCW,150 ,55.0 ,55.0 ,86.7 ,100.00 ,73.62 ,55.97 ,1.36 ,199.60 ,1 ,0.9 ,535 ,32.8240 ,3.9790 ,7.8740 ,3.2690 ,0.5932 ,0.9489 
186,laboratory-scale systems,VFCW,60 ,15.0 ,15.0 ,72.0 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,11 ,0.0 ,0 ,89.5210 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 
187,laboratory-scale systems,VFCW,60 ,15.0 ,15.0 ,72.0 ,0.00 ,0.00 ,0.00 ,0.00 ,400.00 ,11 ,-0.1 ,1103 ,66.0650 ,2.0720 ,8.2480 ,7.9960 ,0.0000 ,0.7276 
188,laboratory-scale systems,VFCW,60 ,15.0 ,15.0 ,72.0 ,0.00 ,0.00 ,0.00 ,0.00 ,1000.00 ,11 ,-0.1 ,1103 ,60.2870 ,1.4230 ,6.6770 ,6.1960 ,0.0000 ,0.7276 
189,laboratory-scale systems,VFCW,60 ,15.0 ,15.0 ,72.0 ,0.00 ,0.00 ,0.00 ,0.00 ,2000.00 ,11 ,-0.1 ,1103 ,42.0750 ,12.7900 ,9.1690 ,4.6680 ,0.0000 ,0.7276 
190,laboratory-scale systems,VFCW,60 ,15.0 ,15.0 ,72.0 ,0.00 ,0.00 ,0.00 ,0.00 ,10000.00 ,11 ,-0.1 ,1103 ,65.5200 ,14.1720 ,4.9820 ,4.4790 ,0.0000 ,0.7276 
191,laboratory-scale systems,VFCW,60 ,15.0 ,15.0 ,72.0 ,0.00 ,0.00 ,0.00 ,0.00 ,20000.00 ,11 ,-0.1 ,1103 ,70.3350 ,2.5540 ,6.0280 ,6.7820 ,0.0000 ,0.7276 
192,laboratory-scale systems,VFCW,60 ,15.0 ,15.0 ,72.0 ,0.00 ,0.00 ,0.00 ,0.00 ,10000.00 ,11 ,0.3 ,722 ,67.0480 ,2.2400 ,6.0710 ,4.8980 ,0.0000 ,0.4768 
193,laboratory-scale systems,VFCW,60 ,15.0 ,15.0 ,72.0 ,0.00 ,0.00 ,0.00 ,0.00 ,10000.00 ,11 ,-0.4 ,1484 ,55.8280 ,3.6630 ,8.4570 ,7.2010 ,0.0000 ,0.9784 
194,laboratory-scale systems,VFCW,175 ,15.0 ,15.0 ,218.4 ,0.00 ,0.00 ,0.00 ,0.00 ,300.00 ,111 ,-0.8 ,1483 ,67.6325 ,0.0000 ,7.7367 ,0.8955 ,0.0000 ,0.7387 
195,laboratory-scale systems,VFCW,175 ,15.0 ,15.0 ,213.6 ,0.00 ,0.00 ,0.00 ,0.00 ,300.00 ,111 ,-0.8 ,1483 ,96.1141 ,0.0000 ,0.0000 ,0.5721 ,0.0000 ,0.7347 
196,laboratory-scale systems,VFCW,175 ,15.0 ,15.0 ,242.4 ,0.00 ,0.00 ,0.00 ,0.00 ,300.00 ,111 ,-0.8 ,1483 ,75.0203 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.7457 
197,laboratory-scale systems,VFCW,175 ,15.0 ,15.0 ,252.0 ,0.00 ,0.00 ,0.00 ,0.00 ,300.00 ,111 ,-0.8 ,1483 ,78.5774 ,0.5224 ,1.0945 ,3.8556 ,0.0000 ,0.6903 
198,laboratory-scale systems,VFCW,343 ,15.0 ,15.0 ,218.4 ,400.00 ,500.00 ,0.00 ,0.80 ,300.00 ,111 ,-0.8 ,1483 ,82.3086 ,1.0447 ,4.1790 ,0.0000 ,0.5932 ,0.7683 
199,laboratory-scale systems,VFCW,343 ,15.0 ,15.0 ,213.6 ,400.00 ,500.00 ,0.00 ,0.80 ,300.00 ,111 ,-0.8 ,1483 ,76.4630 ,3.8058 ,3.2835 ,0.0000 ,0.5932 ,0.7947 
200,laboratory-scale systems,VFCW,343 ,15.0 ,15.0 ,242.4 ,400.00 ,500.00 ,0.00 ,0.80 ,300.00 ,111 ,-0.8 ,1483 ,82.1096 ,2.8855 ,0.3234 ,2.3631 ,0.5932 ,0.7860 
201,laboratory-scale systems,VFCW,343 ,15.0 ,15.0 ,252.0 ,400.00 ,500.00 ,0.00 ,0.80 ,300.00 ,111 ,-0.8 ,1483 ,72.2095 ,14.5518 ,2.9352 ,0.5224 ,0.5932 ,0.7287 
202,laboratory-scale systems,VFCW,30 ,25.0 ,25.0 ,36.0 ,120.00 ,20.00 ,20.00 ,6.00 ,0.00 ,0 ,0.0 ,0 ,61.3887 ,8.4134 ,8.5461 ,1.3536 ,0.3971 ,0.0000 
203,laboratory-scale systems,VFCW,90 ,25.0 ,25.0 ,36.0 ,120.00 ,20.00 ,20.00 ,6.00 ,0.00 ,0 ,0.0 ,0 ,64.7328 ,3.4503 ,12.7926 ,0.5839 ,0.5039 ,0.0000 
204,laboratory-scale systems,VFCW,730 ,23.0 ,23.0 ,72.0 ,207.01 ,42.62 ,41.27 ,4.86 ,0.00 ,0 ,0.0 ,0 ,30.3573 ,1.1370 ,6.5093 ,2.4161 ,0.1532 ,0.0000 
205,laboratory-scale systems,VFCW,730 ,43.0 ,43.0 ,72.0 ,207.01 ,42.62 ,41.27 ,4.86 ,0.00 ,0 ,0.0 ,0 ,16.8270 ,1.0233 ,10.7730 ,3.4110 ,0.1532 ,0.0000 
206,laboratory-scale systems,VFCW,730 ,60.0 ,60.0 ,72.0 ,207.01 ,42.62 ,41.27 ,4.86 ,0.00 ,0 ,0.0 ,0 ,18.2483 ,10.1477 ,6.9072 ,3.7521 ,0.1532 ,0.0000 
207,laboratory-scale systems,VFCW,730 ,23.0 ,23.0 ,72.0 ,207.01 ,42.62 ,41.27 ,4.86 ,0.00 ,0 ,0.0 ,0 ,19.3090 ,0.0000 ,3.9190 ,2.3570 ,0.1532 ,0.0000 
208,laboratory-scale systems,VFCW,730 ,43.0 ,43.0 ,72.0 ,207.01 ,42.62 ,41.27 ,4.86 ,0.00 ,0 ,0.0 ,0 ,10.4210 ,0.0000 ,5.2530 ,2.3000 ,0.1532 ,0.0000 
209,laboratory-scale systems,VFCW,730 ,60.0 ,60.0 ,72.0 ,207.01 ,42.62 ,41.27 ,4.86 ,0.00 ,0 ,0.0 ,0 ,9.5690 ,0.0000 ,3.4080 ,3.6910 ,0.1532 ,0.0000 
