Number,c(A)(¦Ìg/L),Antibiotic1,Concentration(¦Ìg/L),Removal rate,Antibiotic2,Concentration(¦Ìg/L),Removal rate,Antibiotic3,Concentration(¦Ìg/L),Removal rate,Antibiotic4,Concentration(¦Ìg/L),Removal rate,Antibiotic5,Concentration(¦Ìg/L),Removal rate,Antibiotic6,Concentration(¦Ìg/L),Removal rate,Antibiotic7,Concentration(¦Ìg/L),Removal rate,Antibiotic8,Concentration(¦Ìg/L),Removal rate
42,103.08 ,SMX,103.08,0.989377894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,0.00 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,0.00 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,0.00 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,0.00 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0.00 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,0.00 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,4000.00 ,SMX,4000,0.7132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,4000.00 ,SMX,4000,0.7132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,0.00 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,154.60 ,SMX,154.6,0.285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,154.60 ,SMX,154.6,0.285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,154.60 ,SMX,154.6,0.653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,154.60 ,SMX,154.6,0.653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,100.00 ,SMX,100,0.9536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,100.00 ,SMX,100,0.954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,0.00 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,0.00 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,0.00 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,0.10 ,OFL,0.1,0.978435294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,10.00 ,OFL,10,0.978435294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,1000.00 ,OFL,1000,0.978435294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,0.00 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,0.10 ,OFL,0.1,0.978435294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,10.00 ,OFL,10,0.978435294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,1000.00 ,OFL,1000,0.978435294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,0.00 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,86.20 ,0,0,0,OFL,86.2,0.978435294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,86.90 ,TET,86.9,0.6187725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,153.50 ,TET,71.1,0.6187725,OFL,82.4,0.978435294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,300.00 ,SDZ,100,0,SMX,100,0,SMZ,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,300.00 ,SDZ,100,0,SMX,100,0,SMZ,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,300.00 ,SDZ,100,0.2642558,SMX,100,0.67508,SMZ,100,0.1901337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,300.00 ,SDZ,100,0.2642558,SMX,100,0.67508,SMZ,100,0.1901337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,300.00 ,SDZ,100,0.3119665,SMX,100,0.3767168,SMZ,100,0.3758649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,300.00 ,SDZ,100,0.3110665,SMX,100,0.3767168,SMZ,100,0.3758649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,300.00 ,SDZ,100,0.5662819,SMX,100,0.7899261,SMZ,100,0.5368887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,300.00 ,SDZ,100,0.5662819,SMX,100,0.7899261,SMZ,100,0.5368887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,0.00 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,0.00 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,0.00 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,0.00 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,0.00 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,0.00 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,0.00 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,0.00 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,0.00 ,OFL,0,0,ENR,0,0,NFX,0,0,CIP,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,400.00 ,OFL,100,0.8367,ENR,100,0.8666,NFX,100,0.8981,CIP,100,0.8899,0,0,0,0,0,0,0,0,0,0,0,0
90,0.00 ,OFL,0,0,ENR,0,0,NFX,0,0,CIP,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,400.00 ,OFL,100,0.8367,ENR,100,0.8666,NFX,100,0.8981,CIP,100,0.8899,0,0,0,0,0,0,0,0,0,0,0,0
92,0.00 ,OFL,0,0,ENR,0,0,NFX,0,0,CIP,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,400.00 ,OFL,100,0.98,ENR,100,0.984,NFX,100,0.9849,CIP,100,0.9886,0,0,0,0,0,0,0,0,0,0,0,0
94,0.00 ,OFL,0,0,ENR,0,0,NFX,0,0,CIP,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,400.00 ,OFL,100,0.98,ENR,100,0.984,NFX,100,0.9849,CIP,100,0.9886,0,0,0,0,0,0,0,0,0,0,0,0
96,0.00 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,0.00 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,0.00 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,0.00 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0.00 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,100.00 ,SMX,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,100.00 ,SMX,100,0.5941024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,100.00 ,SMX,100,0.3279036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,100.00 ,SMX,100,0.813378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,100.00 ,SMX,100,0.9550499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,0.00 ,0,0,0,N-SMX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,0.00 ,0,0,0,N-SMX,0,0.8801533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,0.00 ,0,0,0,N-SMX,0,0.9825721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,0.00 ,0,0,0,N-SMX,0,0.987084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,0.00 ,0,0,0,N-SMX,0,0.992047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,100.00 ,SMX,100,0,N-SMX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,100.00 ,SMX,100,0.2891017,N-SMX,0,0.9767067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,100.00 ,SMX,100,0.2430809,N-SMX,0,0.9893399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
